+-----+-----+
|index|value|
+-----+-----+
|   10|158.6|
|  253|142.5|
|  255| 51.0|
|  262|132.2|
|  264| 36.0|
|  268|152.7|
|  278| 31.1|
|  349|109.3|
|  352|238.9|
|  361|165.7|
|  818| 96.2|
|  986| 93.4|
| 1055|206.3|
| 1069| 84.8|
| 1172|107.1|
| 1182| 52.2|
| 1185|180.4|
| 1464| 88.3|
| 1735|129.2|
| 1882|107.2|
| 1890|103.6|
| 1897|108.2|
| 2023|154.5|
| 2025| 72.2|
| 2027|129.3|
| 2171|108.0|
| 2274|165.3|
| 2380|201.3|
| 2390| 94.8|
| 2391|189.7|
| 2503|158.0|
| 2518|152.3|
| 2520|217.4|
| 2521|143.1|
| 2527|199.6|
| 2755| 58.1|
| 2756|138.2|
| 2789| 90.9|
| 2807|127.0|
| 2885|196.2|
| 2886|126.9|
| 2897|105.4|
| 2899|200.3|
| 3005|137.7|
| 3018|170.1|
| 3032|150.7|
+-----+-----+
